screen_id,trial_index,participant,gender,exp_duration,rt,phase,order,effect,t_high,category,d1_best,d2_best,d1_worst1,d2_worst1,d1_worst2,d2_worst2,first_dim,d1_t,d2_t,d1_c,d2_c,d1_d,d2_d,d1_name,d2_name,choice
choice_trial,101,16,Female,2077401,5.294,choice,ctd,attraction_2,2,washing machines,NA,NA,NA,NA,NA,NA,1,50,60,60,50,40,60,Average lifespan,Energy savings,t
choice_trial,103,16,Female,2077401,3.976,choice,tcd,attraction_1,1,televisions,NA,NA,NA,NA,NA,NA,1,60,50,50,60,60,45,Screen size,Average lifespan,t
choice_trial,105,16,Female,2077401,3.967,choice,tcd,repulsion_1,2,washing machines,NA,NA,NA,NA,NA,NA,2,30,100,40,90,25,100,Average lifespan,Energy savings,c
choice_trial,107,16,Female,2077401,6.431,choice,tdc,repulsion_2,1,televisions,NA,NA,NA,NA,NA,NA,1,100,30,90,40,100,20,Screen size,Average lifespan,c
choice_trial,109,16,Female,2077401,3.847,choice,ctd,attraction_2,1,microwave ovens,NA,NA,NA,NA,NA,NA,2,60,50,50,60,60,40,Warranty,Cooking power,c
choice_trial,111,16,Female,2077401,4.531,choice,tdc,repulsion_1,1,laptops,NA,NA,NA,NA,NA,NA,2,100,30,90,40,100,25,Processing speed,Memory (RAM),c
choice_trial,113,16,Female,2077401,3.186,choice,dtc,repulsion_2,1,microwave ovens,NA,NA,NA,NA,NA,NA,1,100,30,90,40,100,20,Warranty,Cooking power,c
choice_trial,115,16,Female,2077401,4.975,choice,dct,repulsion_2,1,washing machines,NA,NA,NA,NA,NA,NA,1,100,30,90,40,100,20,Average lifespan,Energy savings,c
choice_trial,117,16,Female,2077401,3.704,choice,dct,repulsion_1,2,televisions,NA,NA,NA,NA,NA,NA,1,30,100,40,90,25,100,Screen size,Average lifespan,c
choice_trial,119,16,Female,2077401,2.811,choice,wwb,catch,NA,washing machines,95,50,15,20,40,20,2,NA,NA,NA,NA,NA,NA,Average lifespan,Energy savings,b
choice_trial,121,16,Female,2077401,4.193,choice,wbw,catch,NA,laptops,80,50,20,25,25,45,2,NA,NA,NA,NA,NA,NA,Processing speed,Memory (RAM),b
choice_trial,123,16,Female,2077401,3.28,choice,wwb,catch,NA,televisions,60,95,45,45,5,50,2,NA,NA,NA,NA,NA,NA,Screen size,Average lifespan,b
choice_trial,125,16,Female,2077401,2.887,choice,tcd,attraction_1,2,microwave ovens,NA,NA,NA,NA,NA,NA,1,50,60,60,50,45,60,Warranty,Cooking power,t
choice_trial,127,16,Female,2077401,2.67,choice,dct,attraction_2,2,televisions,NA,NA,NA,NA,NA,NA,2,50,60,60,50,40,60,Screen size,Average lifespan,d
choice_trial,129,16,Female,2077401,4.047,choice,cdt,attraction_1,2,televisions,NA,NA,NA,NA,NA,NA,1,50,60,60,50,45,60,Screen size,Average lifespan,c
choice_trial,131,16,Female,2077401,3.936,choice,cdt,attraction_2,1,laptops,NA,NA,NA,NA,NA,NA,2,60,50,50,60,60,40,Processing speed,Memory (RAM),c
choice_trial,133,16,Female,2077401,2.405,choice,dtc,repulsion_2,2,laptops,NA,NA,NA,NA,NA,NA,1,30,100,40,90,20,100,Processing speed,Memory (RAM),c
choice_trial,135,16,Female,2077401,11.786,choice,ctd,repulsion_2,2,microwave ovens,NA,NA,NA,NA,NA,NA,1,30,100,40,90,20,100,Warranty,Cooking power,c
choice_trial,137,16,Female,2077401,6.466,choice,ctd,attraction_1,2,laptops,NA,NA,NA,NA,NA,NA,2,50,60,60,50,45,60,Processing speed,Memory (RAM),t
choice_trial,139,16,Female,2077401,8.177,choice,ctd,attraction_1,1,washing machines,NA,NA,NA,NA,NA,NA,1,60,50,50,60,60,45,Average lifespan,Energy savings,t
choice_trial,141,16,Female,2077401,5.404,choice,tdc,repulsion_1,2,laptops,NA,NA,NA,NA,NA,NA,2,30,100,40,90,25,100,Processing speed,Memory (RAM),c
choice_trial,143,16,Female,2077401,3.339,choice,bww,catch,NA,washing machines,80,50,10,50,25,25,2,NA,NA,NA,NA,NA,NA,Average lifespan,Energy savings,b
choice_trial,145,16,Female,2077401,3.188,choice,wwb,catch,NA,microwave ovens,60,70,40,25,25,40,2,NA,NA,NA,NA,NA,NA,Warranty,Cooking power,b
choice_trial,147,16,Female,2077401,2.603,choice,dtc,attraction_2,1,washing machines,NA,NA,NA,NA,NA,NA,2,60,50,50,60,60,40,Average lifespan,Energy savings,c
choice_trial,149,16,Female,2077401,2.78,choice,cdt,repulsion_1,1,microwave ovens,NA,NA,NA,NA,NA,NA,2,100,30,90,40,100,25,Warranty,Cooking power,c
choice_trial,151,16,Female,2077401,4.283,choice,cdt,repulsion_2,1,laptops,NA,NA,NA,NA,NA,NA,1,100,30,90,40,100,20,Processing speed,Memory (RAM),c
choice_trial,153,16,Female,2077401,4.485,choice,dtc,repulsion_2,2,washing machines,NA,NA,NA,NA,NA,NA,2,30,100,40,90,20,100,Average lifespan,Energy savings,c
choice_trial,155,16,Female,2077401,3.234,choice,ctd,attraction_1,2,washing machines,NA,NA,NA,NA,NA,NA,1,50,60,60,50,45,60,Average lifespan,Energy savings,c
choice_trial,157,16,Female,2077401,3.271,choice,dtc,repulsion_1,2,microwave ovens,NA,NA,NA,NA,NA,NA,1,30,100,40,90,25,100,Warranty,Cooking power,c
choice_trial,159,16,Female,2077401,3.263,choice,wwb,catch,NA,microwave ovens,50,50,35,35,45,40,2,NA,NA,NA,NA,NA,NA,Warranty,Cooking power,b
choice_trial,161,16,Female,2077401,3.456,choice,dct,attraction_2,1,televisions,NA,NA,NA,NA,NA,NA,2,60,50,50,60,60,40,Screen size,Average lifespan,t
choice_trial,163,16,Female,2077401,5.179,choice,tdc,repulsion_1,1,washing machines,NA,NA,NA,NA,NA,NA,1,100,30,90,40,100,25,Average lifespan,Energy savings,c
choice_trial,85,2,Male,1759731.599999994,11.805,choice,wbw,catch,NA,washing machines,85,85,45,5,10,40,2,NA,NA,NA,NA,NA,NA,Average lifespan,Energy savings,b
choice_trial,87,2,Male,1759731.599999994,9.017,choice,cdt,repulsion_2,1,televisions,NA,NA,NA,NA,NA,NA,2,100,30,90,40,100,20,Screen size,Average lifespan,c
choice_trial,89,2,Male,1759731.599999994,9.209,choice,wbw,catch,NA,washing machines,60,70,45,40,10,45,1,NA,NA,NA,NA,NA,NA,Average lifespan,Energy savings,b
choice_trial,91,2,Male,1759731.599999994,6.249,choice,dtc,repulsion_2,1,laptops,NA,NA,NA,NA,NA,NA,2,100,30,90,40,100,20,Processing speed,Memory (RAM),c
choice_trial,93,2,Male,1759731.599999994,9.129,choice,wbw,catch,NA,laptops,75,85,40,40,45,15,2,NA,NA,NA,NA,NA,NA,Processing speed,Memory (RAM),b
choice_trial,95,2,Male,1759731.599999994,6.736,choice,bww,catch,NA,microwave ovens,75,60,5,40,45,30,2,NA,NA,NA,NA,NA,NA,Warranty,Cooking power,b
choice_trial,97,2,Male,1759731.599999994,6.628,choice,dct,repulsion_2,2,laptops,NA,NA,NA,NA,NA,NA,2,30,100,40,90,20,100,Processing speed,Memory (RAM),c
choice_trial,99,2,Male,1759731.599999994,6.219,choice,wbw,catch,NA,laptops,90,85,30,40,35,50,1,NA,NA,NA,NA,NA,NA,Processing speed,Memory (RAM),b
choice_trial,101,2,Male,1759731.599999994,19.61,choice,tcd,attraction_1,2,washing machines,NA,NA,NA,NA,NA,NA,1,50,60,60,50,45,60,Average lifespan,Energy savings,c
choice_trial,103,2,Male,1759731.599999994,8.187,choice,ctd,attraction_1,2,microwave ovens,NA,NA,NA,NA,NA,NA,2,50,60,60,50,45,60,Warranty,Cooking power,t
choice_trial,105,2,Male,1759731.599999994,9.959,choice,wwb,catch,NA,televisions,90,90,20,30,45,5,2,NA,NA,NA,NA,NA,NA,Screen size,Average lifespan,b
choice_trial,107,2,Male,1759731.599999994,6.757,choice,ctd,attraction_2,1,laptops,NA,NA,NA,NA,NA,NA,2,60,50,50,60,60,40,Processing speed,Memory (RAM),c
choice_trial,109,2,Male,1759731.599999994,5.349,choice,tcd,repulsion_1,2,microwave ovens,NA,NA,NA,NA,NA,NA,2,30,100,40,90,25,100,Warranty,Cooking power,c
choice_trial,111,2,Male,1759731.599999994,8.213,choice,dtc,attraction_2,2,washing machines,NA,NA,NA,NA,NA,NA,1,50,60,60,50,40,60,Average lifespan,Energy savings,c
choice_trial,113,2,Male,1759731.599999994,9.858,choice,ctd,attraction_2,2,televisions,NA,NA,NA,NA,NA,NA,2,50,60,60,50,40,60,Screen size,Average lifespan,t
choice_trial,115,2,Male,1759731.599999994,10.364,choice,dct,repulsion_1,1,laptops,NA,NA,NA,NA,NA,NA,1,100,30,90,40,100,25,Processing speed,Memory (RAM),c
choice_trial,117,2,Male,1759731.599999994,10.085,choice,dct,repulsion_2,1,washing machines,NA,NA,NA,NA,NA,NA,2,100,30,90,40,100,20,Average lifespan,Energy savings,c
choice_trial,119,2,Male,1759731.599999994,6.781,choice,dtc,repulsion_2,2,televisions,NA,NA,NA,NA,NA,NA,1,30,100,40,90,20,100,Screen size,Average lifespan,c
choice_trial,121,2,Male,1759731.599999994,8.661,choice,ctd,attraction_2,1,televisions,NA,NA,NA,NA,NA,NA,2,60,50,50,60,60,40,Screen size,Average lifespan,t
choice_trial,123,2,Male,1759731.599999994,9.565,choice,tdc,repulsion_1,1,televisions,NA,NA,NA,NA,NA,NA,2,100,30,90,40,100,25,Screen size,Average lifespan,c
choice_trial,125,2,Male,1759731.599999994,10.95,choice,dct,attraction_1,1,televisions,NA,NA,NA,NA,NA,NA,1,60,50,50,60,60,45,Screen size,Average lifespan,t
choice_trial,127,2,Male,1759731.599999994,11.847,choice,tdc,repulsion_1,2,laptops,NA,NA,NA,NA,NA,NA,2,30,100,40,90,25,100,Processing speed,Memory (RAM),c
choice_trial,129,2,Male,1759731.599999994,8.697,choice,bww,catch,NA,televisions,50,70,10,20,40,15,1,NA,NA,NA,NA,NA,NA,Screen size,Average lifespan,b
